Date;Sunrise;Sunset
20190101;07:35:16;15:36:44
20190102;07:35:11;15:37:47
20190103;07:35:02;15:38:53
20190104;07:34:50;15:40:01
20190105;07:34:34;15:41:11
20190106;07:34:16;15:42:24
20190107;07:33:54;15:43:39
20190108;07:33:29;15:44:56
20190109;07:33:01;15:46:16
20190110;07:32:30;15:47:37
20190111;07:31:55;15:49:00
20190112;07:31:18;15:50:25
20190113;07:30:38;15:51:52
20190114;07:29:54;15:53:21
20190115;07:29:08;15:54:51
20190116;07:28:19;15:56:23
20190117;07:27:27;15:57:56
20190118;07:26:32;15:59:31
20190119;07:25:35;16:01:07
20190120;07:24:35;16:02:44
20190121;07:23:32;16:04:22
20190122;07:22:26;16:06:01
20190123;07:21:18;16:07:41
20190124;07:20:08;16:09:22
20190125;07:18:55;16:11:04
20190126;07:17:40;16:12:47
20190127;07:16:23;16:14:31
20190128;07:15:03;16:16:15
20190129;07:13:41;16:17:59
20190130;07:12:17;16:19:44
20190131;07:10:51;16:21:30
20190201;07:09:22;16:23:16
20190202;07:07:52;16:25:02
20190203;07:06:20;16:26:49
20190204;07:04:46;16:28:36
20190205;07:03:10;16:30:23
20190206;07:01:32;16:32:10
20190207;06:59:53;16:33:57
20190208;06:58:12;16:35:45
20190209;06:56:29;16:37:32
20190210;06:54:45;16:39:20
20190211;06:52:59;16:41:07
20190212;06:51:12;16:42:55
20190213;06:49:23;16:44:42
20190214;06:47:33;16:46:29
20190215;06:45:41;16:48:16
20190216;06:43:48;16:50:03
20190217;06:41:54;16:51:50
20190218;06:39:59;16:53:37
20190219;06:38:02;16:55:23
20190220;06:36:05;16:57:09
20190221;06:34:06;16:58:55
20190222;06:32:06;17:00:41
20190223;06:30:05;17:02:26
20190224;06:28:04;17:04:11
20190225;06:26:01;17:05:56
20190226;06:23:58;17:07:41
20190227;06:21:53;17:09:25
20190228;06:19:48;17:11:09
20190301;06:17:42;17:12:53
20190302;06:15:35;17:14:36
20190303;06:13:28;17:16:19
20190304;06:11:20;17:18:02
20190305;06:09:11;17:19:45
20190306;06:07:02;17:21:27
20190307;06:04:52;17:23:09
20190308;06:02:42;17:24:51
20190309;06:00:31;17:26:33
20190310;05:58:19;17:28:14
20190311;05:56:07;17:29:55
20190312;05:53:55;17:31:36
20190313;05:51:43;17:33:17
20190314;05:49:30;17:34:57
20190315;05:47:17;17:36:37
20190316;05:45:03;17:38:17
20190317;05:42:50;17:39:57
20190318;05:40:36;17:41:37
20190319;05:38:22;17:43:16
20190320;05:36:07;17:44:55
20190321;05:33:53;17:46:35
20190322;05:31:39;17:48:13
20190323;05:29:24;17:49:52
20190324;05:27:10;17:51:31
20190325;05:24:55;17:53:10
20190326;05:22:41;17:54:48
20190327;05:20:26;17:56:27
20190328;05:18:12;17:58:05
20190329;05:15:58;17:59:43
20190330;05:13:44;18:01:21
20190331;05:11:30;18:02:59
20190401;05:09:16;18:04:38
20190402;05:07:03;18:06:16
20190403;05:04:50;18:07:54
20190404;05:02:37;18:09:32
20190405;05:00:25;18:11:10
20190406;04:58:13;18:12:47
20190407;04:56:01;18:14:25
20190408;04:53:50;18:16:03
20190409;04:51:39;18:17:41
20190410;04:49:29;18:19:19
20190411;04:47:19;18:20:57
20190412;04:45:10;18:22:35
20190413;04:43:02;18:24:13
20190414;04:40:54;18:25:50
20190415;04:38:47;18:27:28
20190416;04:36:40;18:29:06
20190417;04:34:34;18:30:44
20190418;04:32:30;18:32:22
20190419;04:30:25;18:33:59
20190420;04:28:22;18:35:37
20190421;04:26:20;18:37:15
20190422;04:24:18;18:38:52
20190423;04:22:18;18:40:30
20190424;04:20:18;18:42:07
20190425;04:18:20;18:43:44
20190426;04:16:23;18:45:21
20190427;04:14:26;18:46:58
20190428;04:12:31;18:48:35
20190429;04:10:37;18:50:11
20190430;04:08:45;18:51:47
20190501;04:06:53;18:53:23
20190502;04:05:04;18:54:59
20190503;04:03:15;18:56:35
20190504;04:01:28;18:58:10
20190505;03:59:42;18:59:44
20190506;03:57:58;19:01:18
20190507;03:56:15;19:02:52
20190508;03:54:34;19:04:25
20190509;03:52:55;19:05:58
20190510;03:51:17;19:07:30
20190511;03:49:41;19:09:02
20190512;03:48:07;19:10:33
20190513;03:46:35;19:12:03
20190514;03:45:04;19:13:32
20190515;03:43:36;19:15:00
20190516;03:42:09;19:16:28
20190517;03:40:45;19:17:54
20190518;03:39:23;19:19:20
20190519;03:38:02;19:20:44
20190520;03:36:44;19:22:08
20190521;03:35:28;19:23:30
20190522;03:34:15;19:24:51
20190523;03:33:04;19:26:10
20190524;03:31:55;19:27:29
20190525;03:30:48;19:28:45
20190526;03:29:44;19:30:01
20190527;03:28:43;19:31:14
20190528;03:27:44;19:32:26
20190529;03:26:47;19:33:37
20190530;03:25:54;19:34:45
20190531;03:25:03;19:35:52
20190601;03:24:14;19:36:57
20190602;03:23:29;19:37:59
20190603;03:22:46;19:39:00
20190604;03:22:06;19:39:59
20190605;03:21:28;19:40:55
20190606;03:20:54;19:41:49
20190607;03:20:23;19:42:41
20190608;03:19:54;19:43:30
20190609;03:19:29;19:44:17
20190610;03:19:06;19:45:02
20190611;03:18:46;19:45:44
20190612;03:18:29;19:46:23
20190613;03:18:16;19:47:00
20190614;03:18:05;19:47:34
20190615;03:17:57;19:48:05
20190616;03:17:53;19:48:34
20190617;03:17:51;19:48:59
20190618;03:17:52;19:49:22
20190619;03:17:56;19:49:42
20190620;03:18:03;19:49:59
20190621;03:18:13;19:50:13
20190622;03:18:26;19:50:24
20190623;03:18:42;19:50:32
20190624;03:19:01;19:50:37
20190625;03:19:23;19:50:39
20190626;03:19:47;19:50:38
20190627;03:20:14;19:50:34
20190628;03:20:44;19:50:27
20190629;03:21:17;19:50:17
20190630;03:21:52;19:50:04
20190701;03:22:30;19:49:48
20190702;03:23:10;19:49:28
20190703;03:23:53;19:49:06
20190704;03:24:38;19:48:41
20190705;03:25:26;19:48:13
20190706;03:26:16;19:47:41
20190707;03:27:08;19:47:07
20190708;03:28:02;19:46:30
20190709;03:28:59;19:45:51
20190710;03:29:57;19:45:08
20190711;03:30:58;19:44:22
20190712;03:32:00;19:43:34
20190713;03:33:05;19:42:43
20190714;03:34:11;19:41:49
20190715;03:35:18;19:40:53
20190716;03:36:28;19:39:54
20190717;03:37:39;19:38:52
20190718;03:38:52;19:37:48
20190719;03:40:06;19:36:42
20190720;03:41:21;19:35:33
20190721;03:42:38;19:34:21
20190722;03:43:56;19:33:08
20190723;03:45:15;19:31:52
20190724;03:46:35;19:30:33
20190725;03:47:56;19:29:13
20190726;03:49:19;19:27:50
20190727;03:50:42;19:26:25
20190728;03:52:06;19:24:59
20190729;03:53:31;19:23:30
20190730;03:54:57;19:21:59
20190731;03:56:24;19:20:26
20190801;03:57:51;19:18:52
20190802;03:59:19;19:17:16
20190803;04:00:47;19:15:37
20190804;04:02:16;19:13:58
20190805;04:03:46;19:12:16
20190806;04:05:16;19:10:33
20190807;04:06:46;19:08:48
20190808;04:08:17;19:07:02
20190809;04:09:48;19:05:14
20190810;04:11:20;19:03:25
20190811;04:12:51;19:01:35
20190812;04:14:23;18:59:43
20190813;04:15:56;18:57:50
20190814;04:17:28;18:55:55
20190815;04:19:00;18:53:59
20190816;04:20:33;18:52:03
20190817;04:22:06;18:50:05
20190818;04:23:39;18:48:05
20190819;04:25:12;18:46:05
20190820;04:26:45;18:44:04
20190821;04:28:18;18:42:02
20190822;04:29:51;18:39:59
20190823;04:31:24;18:37:55
20190824;04:32:58;18:35:50
20190825;04:34:31;18:33:44
20190826;04:36:04;18:31:37
20190827;04:37:37;18:29:30
20190828;04:39:10;18:27:22
20190829;04:40:44;18:25:13
20190830;04:42:17;18:23:04
20190831;04:43:50;18:20:54
20190901;04:45:23;18:18:43
20190902;04:46:56;18:16:32
20190903;04:48:29;18:14:20
20190904;04:50:02;18:12:08
20190905;04:51:35;18:09:55
20190906;04:53:08;18:07:42
20190907;04:54:41;18:05:28
20190908;04:56:14;18:03:14
20190909;04:57:47;18:01:00
20190910;04:59:20;17:58:45
20190911;05:00:53;17:56:31
20190912;05:02:26;17:54:15
20190913;05:03:59;17:52:00
20190914;05:05:32;17:49:45
20190915;05:07:06;17:47:29
20190916;05:08:39;17:45:13
20190917;05:10:12;17:42:57
20190918;05:11:46;17:40:41
20190919;05:13:19;17:38:25
20190920;05:14:53;17:36:09
20190921;05:16:26;17:33:53
20190922;05:18:00;17:31:37
20190923;05:19:34;17:29:21
20190924;05:21:08;17:27:05
20190925;05:22:43;17:24:50
20190926;05:24:17;17:22:34
20190927;05:25:52;17:20:19
20190928;05:27:26;17:18:04
20190929;05:29:01;17:15:49
20190930;05:30:37;17:13:34
20191001;05:32:12;17:11:20
20191002;05:33:48;17:09:06
20191003;05:35:24;17:06:53
20191004;05:37:00;17:04:40
20191005;05:38:36;17:02:27
20191006;05:40:13;17:00:15
20191007;05:41:50;16:58:03
20191008;05:43:27;16:55:52
20191009;05:45:05;16:53:41
20191010;05:46:43;16:51:31
20191011;05:48:21;16:49:22
20191012;05:49:59;16:47:13
20191013;05:51:38;16:45:05
20191014;05:53:17;16:42:58
20191015;05:54:56;16:40:52
20191016;05:56:36;16:38:46
20191017;05:58:16;16:36:41
20191018;05:59:56;16:34:38
20191019;06:01:37;16:32:35
20191020;06:03:17;16:30:33
20191021;06:04:59;16:28:32
20191022;06:06:40;16:26:32
20191023;06:08:22;16:24:33
20191024;06:10:04;16:22:35
20191025;06:11:46;16:20:39
20191026;06:13:28;16:18:43
20191027;06:15:11;16:16:49
20191028;06:16:54;16:14:57
20191029;06:18:37;16:13:05
20191030;06:20:20;16:11:15
20191031;06:22:03;16:09:27
20191101;06:23:46;16:07:39
20191102;06:25:30;16:05:54
20191103;06:27:13;16:04:10
20191104;06:28:57;16:02:27
20191105;06:30:40;16:00:47
20191106;06:32:24;15:59:08
20191107;06:34:07;15:57:31
20191108;06:35:50;15:55:55
20191109;06:37:33;15:54:22
20191110;06:39:16;15:52:50
20191111;06:40:58;15:51:21
20191112;06:42:41;15:49:53
20191113;06:44:22;15:48:28
20191114;06:46:04;15:47:05
20191115;06:47:45;15:45:43
20191116;06:49:25;15:44:25
20191117;06:51:05;15:43:08
20191118;06:52:44;15:41:54
20191119;06:54:22;15:40:42
20191120;06:55:59;15:39:33
20191121;06:57:36;15:38:26
20191122;06:59:11;15:37:22
20191123;07:00:46;15:36:21
20191124;07:02:19;15:35:22
20191125;07:03:52;15:34:26
20191126;07:05:23;15:33:32
20191127;07:06:52;15:32:42
20191128;07:08:21;15:31:54
20191129;07:09:47;15:31:10
20191130;07:11:13;15:30:28
20191201;07:12:36;15:29:49
20191202;07:13:58;15:29:14
20191203;07:15:18;15:28:41
20191204;07:16:36;15:28:12
20191205;07:17:52;15:27:46
20191206;07:19:06;15:27:23
20191207;07:20:17;15:27:03
20191208;07:21:27;15:26:46
20191209;07:22:34;15:26:33
20191210;07:23:39;15:26:23
20191211;07:24:41;15:26:17
20191212;07:25:41;15:26:13
20191213;07:26:38;15:26:13
20191214;07:27:33;15:26:17
20191215;07:28:24;15:26:23
20191216;07:29:13;15:26:33
20191217;07:29:59;15:26:47
20191218;07:30:42;15:27:03
20191219;07:31:23;15:27:23
20191220;07:32:00;15:27:47
20191221;07:32:34;15:28:13
20191222;07:33:05;15:28:43
20191223;07:33:32;15:29:16
20191224;07:33:57;15:29:52
20191225;07:34:18;15:30:31
20191226;07:34:37;15:31:14
20191227;07:34:52;15:31:59
20191228;07:35:03;15:32:47
20191229;07:35:12;15:33:39
20191230;07:35:17;15:34:33
20191231;07:35:18;15:35:30